,Date,cases_ar
173,2020-07-13,572.0
174,2020-07-14,794.0
175,2020-07-15,564.0
176,2020-07-16,817.0
177,2020-07-17,648.0
178,2020-07-18,771.0
179,2020-07-19,695.0
180,2020-07-20,699.0
181,2020-07-21,728.0
182,2020-07-22,591.0
183,2020-07-23,1013.0
184,2020-07-24,990.0
185,2020-07-25,732.0
186,2020-07-26,642.0
187,2020-07-27,824.0
188,2020-07-28,734.0
189,2020-07-29,787.0
190,2020-07-30,791.0
191,2020-07-31,752.0
192,2020-08-01,662.0
193,2020-08-02,537.0
194,2020-08-03,887.0
195,2020-08-04,784.0
196,2020-08-05,912.0
197,2020-08-06,735.0
198,2020-08-07,1011.0
199,2020-08-08,772.0
200,2020-08-09,572.0
201,2020-08-10,645.0
202,2020-08-11,383.0
203,2020-08-12,703.0
204,2020-08-13,652.0
205,2020-08-14,626.0
206,2020-08-15,0.0
207,2020-08-16,673.0
208,2020-08-17,412.0
209,2020-08-18,410.0
210,2020-08-19,729.0
211,2020-08-20,549.0
212,2020-08-21,887.0
213,2020-08-22,547.0
214,2020-08-23,375.0
215,2020-08-24,320.0
216,2020-08-25,480.0
217,2020-08-26,649.0
218,2020-08-27,722.0
219,2020-08-28,838.0
220,2020-08-29,795.0
221,2020-08-30,478.0
222,2020-08-31,368.0
223,2020-09-01,273.0
224,2020-09-02,615.0
225,2020-09-03,969.0
226,2020-09-04,1094.0
227,2020-09-05,515.0
228,2020-09-06,687.0
229,2020-09-07,350.0
230,2020-09-08,294.0
231,2020-09-09,385.0
232,2020-09-10,398.0
233,2020-09-11,1107.0
234,2020-09-12,0.0
235,2020-09-13,576.0
236,2020-09-14,2140.0
237,2020-09-15,730.0
238,2020-09-16,862.0
239,2020-09-17,992.0
240,2020-09-18,871.0
241,2020-09-19,1078.0
242,2020-09-20,563.0
243,2020-09-21,641.0
244,2020-09-22,617.0
245,2020-09-23,982.0
246,2020-09-24,1086.0
247,2020-09-25,897.0
248,2020-09-26,809.0
249,2020-09-27,487.0
250,2020-09-28,807.0
251,2020-09-29,706.0
252,2020-09-30,942.0
253,2020-10-01,1124.0
254,2020-10-02,958.0
255,2020-10-03,746.0
256,2020-10-04,488.0
257,2020-10-05,417.0
258,2020-10-06,641.0
259,2020-10-07,809.0
260,2020-10-08,1265.0
261,2020-10-09,1167.0
262,2020-10-10,908.0
263,2020-10-11,613.0
264,2020-10-12,654.0
265,2020-10-13,680.0
266,2020-10-14,1079.0
267,2020-10-15,1278.0
268,2020-10-16,1015.0
269,2020-10-17,883.0
270,2020-10-18,644.0
271,2020-10-19,531.0
272,2020-10-20,844.0
273,2020-10-21,1155.0
274,2020-10-22,1202.0
275,2020-10-23,1337.0
276,2020-10-24,1183.0
277,2020-10-25,797.0
278,2020-10-26,612.0
279,2020-10-27,952.0
280,2020-10-28,961.0
281,2020-10-29,1072.0
282,2020-10-30,1162.0
283,2020-10-31,1316.0
284,2020-11-01,864.0
285,2020-11-02,586.0
286,2020-11-03,873.0
287,2020-11-04,1292.0
288,2020-11-05,1555.0
289,2020-11-06,1870.0
290,2020-11-07,1598.0
291,2020-11-08,1038.0
292,2020-11-09,945.0
293,2020-11-10,1424.0
294,2020-11-11,1962.0
295,2020-11-12,1809.0
296,2020-11-13,2311.0
297,2020-11-14,1846.0
298,2020-11-15,876.0
299,2020-11-16,1307.0
300,2020-11-17,1556.0
301,2020-11-18,1715.0
302,2020-11-19,2238.0
303,2020-11-20,2061.0
304,2020-11-21,1905.0
305,2020-11-22,1352.0
306,2020-11-23,1017.0
307,2020-11-24,2122.0
308,2020-11-25,1965.0
309,2020-11-26,2347.0
310,2020-11-27,1053.0
311,2020-11-28,1349.0
312,2020-11-29,1221.0
313,2020-11-30,1112.0
314,2020-12-01,1950.0
315,2020-12-02,2212.0
318,2020-12-05,2245.0
319,2020-12-06,1543.0
320,2020-12-07,1119.0
321,2020-12-08,2283.0
322,2020-12-09,2327.0
323,2020-12-10,2202.0
326,2020-12-13,1450.0
327,2020-12-14,1355.0
328,2020-12-15,2141.0
329,2020-12-16,2306.0
333,2020-12-20,1537.0
334,2020-12-21,1457.0
335,2020-12-22,1941.0
338,2020-12-25,2122.0
339,2020-12-26,702.0
340,2020-12-27,908.0
341,2020-12-28,1651.0
346,2021-01-02,2000.0
347,2021-01-03,2033.0
348,2021-01-04,1306.0
355,2021-01-11,1268.0
361,2021-01-17,976.0
362,2021-01-18,1108.0
363,2021-01-19,1332.0
366,2021-01-22,2162.0
367,2021-01-23,1612.0
368,2021-01-24,1068.0
369,2021-01-25,640.0
371,2021-01-27,1777.0
372,2021-01-28,1892.0
373,2021-01-29,1707.0
374,2021-01-30,1824.0
375,2021-01-31,881.0
376,2021-02-01,1226.0
377,2021-02-02,1510.0
380,2021-02-05,1824.0
381,2021-02-06,1341.0
382,2021-02-07,674.0
383,2021-02-08,636.0
384,2021-02-09,1475.0
385,2021-02-10,1093.0
386,2021-02-11,1130.0
387,2021-02-12,567.0
388,2021-02-13,955.0
389,2021-02-14,467.0
390,2021-02-15,325.0
391,2021-02-16,175.0
392,2021-02-17,662.0
393,2021-02-18,247.0
394,2021-02-19,270.0
395,2021-02-20,515.0
396,2021-02-21,284.0
397,2021-02-22,243.0
398,2021-02-23,830.0
399,2021-02-24,798.0
400,2021-02-25,725.0
401,2021-02-26,511.0
402,2021-02-27,557.0
404,2021-03-01,83.0
405,2021-03-02,416.0
406,2021-03-03,389.0
407,2021-03-04,392.0
408,2021-03-05,560.0
409,2021-03-06,326.0
410,2021-03-07,166.0
411,2021-03-08,131.0
412,2021-03-09,430.0
413,2021-03-10,315.0
414,2021-03-11,336.0
415,2021-03-12,458.0
416,2021-03-13,312.0
417,2021-03-14,129.0
418,2021-03-15,119.0
419,2021-03-16,394.0
420,2021-03-17,326.0
421,2021-03-18,262.0
422,2021-03-19,226.0
423,2021-03-20,274.0
424,2021-03-21,112.0
425,2021-03-22,52.0
426,2021-03-23,233.0
427,2021-03-24,226.0
428,2021-03-25,337.0
429,2021-03-26,185.0
430,2021-03-27,165.0
431,2021-03-28,69.0
432,2021-03-29,79.0
433,2021-03-30,175.0
434,2021-03-31,213.0
435,2021-04-01,210.0
436,2021-04-02,145.0
437,2021-04-03,216.0
