,Date,deaths_az
174,2020-07-14,92.0
175,2020-07-15,97.0
176,2020-07-16,58.0
177,2020-07-17,91.0
179,2020-07-19,31.0
180,2020-07-20,23.0
182,2020-07-22,56.0
183,2020-07-23,89.0
184,2020-07-24,79.0
186,2020-07-26,19.0
187,2020-07-27,0.0
188,2020-07-28,104.0
189,2020-07-29,46.0
191,2020-07-31,68.0
192,2020-08-01,53.0
193,2020-08-02,18.0
194,2020-08-03,14.0
195,2020-08-04,66.0
196,2020-08-05,87.0
197,2020-08-06,70.0
198,2020-08-07,79.0
199,2020-08-08,56.0
200,2020-08-09,13.0
201,2020-08-10,4.0
202,2020-08-11,45.0
204,2020-08-13,36.0
205,2020-08-14,40.0
206,2020-08-15,69.0
207,2020-08-16,14.0
208,2020-08-17,0.0
209,2020-08-18,23.0
210,2020-08-19,105.0
211,2020-08-20,50.0
212,2020-08-21,4.0
213,2020-08-22,68.0
214,2020-08-23,15.0
215,2020-08-24,0.0
216,2020-08-25,21.0
217,2020-08-26,104.0
218,2020-08-27,33.0
219,2020-08-28,49.0
220,2020-08-29,29.0
221,2020-08-30,23.0
222,2020-08-31,0.0
223,2020-09-01,15.0
224,2020-09-02,21.0
225,2020-09-03,65.0
226,2020-09-04,41.0
227,2020-09-05,36.0
228,2020-09-06,14.0
229,2020-09-07,0.0
230,2020-09-08,2.0
231,2020-09-09,30.0
232,2020-09-10,22.0
233,2020-09-11,15.0
234,2020-09-12,27.0
235,2020-09-13,7.0
236,2020-09-14,0.0
237,2020-09-15,22.0
238,2020-09-16,27.0
239,2020-09-17,38.0
240,2020-09-18,42.0
241,2020-09-19,16.0
242,2020-09-20,9.0
243,2020-09-21,2.0
244,2020-09-22,20.0
245,2020-09-23,27.0
246,2020-09-24,34.0
247,2020-09-25,28.0
248,2020-09-26,35.0
249,2020-09-27,1.0
250,2020-09-28,0.0
251,2020-09-29,9.0
252,2020-09-30,18.0
253,2020-10-01,23.0
254,2020-10-02,20.0
255,2020-10-03,12.0
256,2020-10-04,1.0
257,2020-10-05,1.0
258,2020-10-06,6.0
259,2020-10-07,20.0
260,2020-10-08,10.0
261,2020-10-09,3.0
262,2020-10-10,13.0
263,2020-10-11,0.0
264,2020-10-12,0.0
265,2020-10-13,8.0
266,2020-10-14,5.0
267,2020-10-15,17.0
268,2020-10-16,17.0
269,2020-10-17,18.0
270,2020-10-18,3.0
271,2020-10-19,3.0
272,2020-10-20,7.0
273,2020-10-21,17.0
274,2020-10-22,5.0
275,2020-10-23,6.0
276,2020-10-24,4.0
277,2020-10-25,5.0
278,2020-10-26,1.0
279,2020-10-27,16.0
280,2020-10-28,14.0
281,2020-10-29,13.0
282,2020-10-30,16.0
283,2020-10-31,44.0
284,2020-11-01,3.0
285,2020-11-02,1.0
286,2020-11-03,38.0
287,2020-11-04,39.0
288,2020-11-05,28.0
289,2020-11-06,22.0
290,2020-11-07,38.0
291,2020-11-08,17.0
292,2020-11-09,0.0
293,2020-11-10,28.0
294,2020-11-11,37.0
295,2020-11-12,10.0
296,2020-11-13,18.0
297,2020-11-14,42.0
298,2020-11-15,2.0
299,2020-11-16,0.0
300,2020-11-17,11.0
301,2020-11-18,52.0
302,2020-11-19,19.0
303,2020-11-20,44.0
304,2020-11-21,29.0
305,2020-11-22,8.0
306,2020-11-23,0.0
307,2020-11-24,49.0
308,2020-11-25,9.0
309,2020-11-26,46.0
310,2020-11-27,20.0
311,2020-11-28,36.0
312,2020-11-29,10.0
313,2020-11-30,5.0
314,2020-12-01,48.0
315,2020-12-02,52.0
316,2020-12-03,0.0
318,2020-12-05,40.0
319,2020-12-06,25.0
320,2020-12-07,0.0
321,2020-12-08,23.0
322,2020-12-09,108.0
323,2020-12-10,73.0
324,2020-12-11,91.0
325,2020-12-12,77.0
326,2020-12-13,35.0
327,2020-12-14,1.0
328,2020-12-15,64.0
329,2020-12-16,108.0
333,2020-12-20,34.0
334,2020-12-21,0.0
335,2020-12-22,0.0
336,2020-12-23,0.0
337,2020-12-24,0.0
338,2020-12-25,0.0
339,2020-12-26,0.0
340,2020-12-27,0.0
343,2020-12-30,78.0
346,2021-01-02,47.0
347,2021-01-03,0.0
348,2021-01-04,3.0
353,2021-01-09,98.0
354,2021-01-10,105.0
355,2021-01-11,6.0
361,2021-01-17,17.0
362,2021-01-18,0.0
363,2021-01-19,1.0
368,2021-01-24,67.0
369,2021-01-25,2.0
374,2021-01-30,76.0
375,2021-01-31,23.0
376,2021-02-01,4.0
381,2021-02-06,64.0
382,2021-02-07,38.0
383,2021-02-08,10.0
389,2021-02-14,32.0
390,2021-02-15,0.0
391,2021-02-16,3.0
392,2021-02-17,82.0
395,2021-02-20,58.0
396,2021-02-21,26.0
397,2021-02-22,0.0
399,2021-02-24,0.0
401,2021-02-26,0.0
402,2021-02-27,83.0
403,2021-02-28,0.0
404,2021-03-01,0.0
405,2021-03-02,81.0
406,2021-03-03,30.0
407,2021-03-04,94.0
408,2021-03-05,84.0
409,2021-03-06,0.0
410,2021-03-07,59.0
411,2021-03-08,4.0
412,2021-03-09,0.0
413,2021-03-10,75.0
414,2021-03-11,57.0
415,2021-03-12,55.0
416,2021-03-13,34.0
417,2021-03-14,0.0
418,2021-03-15,1.0
419,2021-03-16,20.0
420,2021-03-17,12.0
421,2021-03-18,60.0
422,2021-03-19,46.0
423,2021-03-20,0.0
424,2021-03-21,54.0
425,2021-03-22,0.0
426,2021-03-23,53.0
427,2021-03-24,44.0
428,2021-03-25,0.0
429,2021-03-26,57.0
430,2021-03-27,18.0
431,2021-03-28,0.0
432,2021-03-29,3.0
433,2021-03-30,21.0
434,2021-03-31,26.0
435,2021-04-01,11.0
436,2021-04-02,19.0
437,2021-04-03,7.0
